epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
254,34158.7,0.41345,0.75642,0.98668,0.79305,0.0049906,0.0049906,0.0049906
255,34293.6,0.41801,0.75642,0.98668,0.78776,0.0049708,0.0049708,0.0049708
256,34423.5,0.40096,0.75785,0.98668,0.79677,0.004951,0.004951,0.004951
257,34551.9,0.40152,0.75817,0.98652,0.79632,0.0049312,0.0049312,0.0049312
258,34685.1,0.42419,0.7569,0.987,0.79981,0.0049114,0.0049114,0.0049114
259,34811.7,0.39182,0.7569,0.987,0.7973,0.0048916,0.0048916,0.0048916
260,34944.3,0.40715,0.75722,0.98668,0.79336,0.0048718,0.0048718,0.0048718
261,35073.8,0.39284,0.7569,0.987,0.79125,0.004852,0.004852,0.004852
262,35204.2,0.39046,0.75706,0.98716,0.79527,0.0048322,0.0048322,0.0048322
263,35333,0.39015,0.75737,0.98716,0.80107,0.0048124,0.0048124,0.0048124
264,35462.9,0.38537,0.75674,0.98763,0.80402,0.0047926,0.0047926,0.0047926
265,35594.1,0.39098,0.75737,0.98795,0.79736,0.0047728,0.0047728,0.0047728
266,35725.5,0.38485,0.75817,0.98795,0.80047,0.004753,0.004753,0.004753
267,35854.4,0.39291,0.75959,0.98811,0.79963,0.0047332,0.0047332,0.0047332
268,35985.8,0.38017,0.75944,0.98811,0.80538,0.0047134,0.0047134,0.0047134
269,36115.9,0.38239,0.75959,0.98811,0.80492,0.0046936,0.0046936,0.0046936
270,36244.2,0.37862,0.76039,0.98811,0.80937,0.0046738,0.0046738,0.0046738
271,36374.2,0.38647,0.75959,0.98827,0.79956,0.004654,0.004654,0.004654
272,36503.8,0.38161,0.75975,0.98811,0.80029,0.0046342,0.0046342,0.0046342
273,36637.5,0.39176,0.75912,0.98795,0.80096,0.0046144,0.0046144,0.0046144
274,36766.5,0.37194,0.7588,0.98811,0.80383,0.0045946,0.0045946,0.0045946
275,36894.7,0.36651,0.75848,0.98795,0.80747,0.0045748,0.0045748,0.0045748
276,37027.1,0.36798,0.75896,0.98795,0.80329,0.004555,0.004555,0.004555
277,37157.9,0.37285,0.75944,0.98779,0.80803,0.0045352,0.0045352,0.0045352
278,37290.6,0.3647,0.75975,0.98763,0.8077,0.0045154,0.0045154,0.0045154
